Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Parkes, Brandon; Stafoggia, Massimo; Fecht, Daniela; Davies, Bethan; Bonander, Carl; de’Donato, Francesca; Michelozzi, Paola; Piel, Frédéric B; Strömberg, Ulf; Blangiardo, Marta; ","Community factors and excess mortality in the COVID-19 pandemic in England, Italy and Sweden",European Journal of Public Health,33,4,695-703,2023,Oxford University Press
"Faust, Jeremy Samuel; Du, Chengan; Mayes, Katherine Dickerson; Renton, Benjamin; Li, Shu-Xia; Lin, Zhenqiu; Krumholz, Harlan M; ",Absence of excess mortality in a highly vaccinated population during the initial COVID-19 Delta period,medRxiv,,,2021.09. 16.21263477,2021,Cold Spring Harbor Laboratory Press
"Mussino, Eleonora; Drefahl, Sven; Wallace, Matthew; Billingsley, Sunnee; Aradhya, Siddartha; Andersson, Gunnar; ","Lives saved, lives lost and under-reported Covid-19 deaths: Excess and non-excess mortality in relation to cause-specific mortality during the Covid-19 pandemic in Sweden",,,,,2023,Stockholm Research Reports in Demography
"Postill, G; Murray, R; Wilton, AS; Wells, R; Sirbu, R; Daley, M; Barrett, K; Born, K; Juni, P; Maltsev, A; ",Excess mortality in Ontario during the COVID-19 pandemic,Science Briefs of the Ontario COVID-19 Science Advisory Table,2,,29,2021,
"Renton, Benjamin; Du, Chengan; Chen, Alexander Junxiang; Li, Shu-Xia; Lin, Zhenqiu; Krumholz, Harlan M; Faust, Jeremy Samuel; ",State-Level Excess Mortality and Potential Deaths Averted in US Adults During the Delta and Omicron Waves of COVID-19,Journal of General Internal Medicine,,,1-5,2023,Springer
"Henry, Nathaniel; Elagali, Ahmed; Nguyen, Michele; Chipeta, Michael; Moore, Catrin; ","Variation in COVID-19 excess mortality by age, sex, and province within Italy",medRxiv,,,2021.07. 14.21260494,2021,Cold Spring Harbor Laboratory Press
"Fairman, Kathleen A; Goodlet, Kellie J; Rucker, James D; Zawadzki, Roy S; ",Unexplained mortality during the US COVID-19 pandemic: retrospective analysis of death certificate data and critical assessment of excess death calculations,BMJ open,11,11,e050361,2021,British Medical Journal Publishing Group
"Cuéllar, Leticia; Torres, Irene; Romero-Severson, Ethan; Mahesh, Riya; Ortega, Nathaniel; Pungitore, Sarah; Hengartner, Nicolas; Ke, Ruian; ","Excess deaths reveal the true spatial, temporal and demographic impact of COVID-19 on mortality in Ecuador",International journal of epidemiology,51,1,54-62,2022,Oxford University Press
"Orellana, Jesem; Jacques, Nadège; Leventhal, Daniel Gray Paschoal; Marrero, Lihsieh; Morón-Duarte, Lina Sofía; ",Excess maternal mortality in Brazil: Regional inequalities and trajectories during the COVID-19 epidemic,Plos one,17,10,e0275333,2022,"Public Library of Science San Francisco, CA USA"
"Aarstad, Jarle; Kvitastein, Olav Andreas; ",Is There a Link between the 2021 COVID-19 Vaccination Uptake in Europe and 2022 Excess All-Cause Mortality?,,,,,2023,IJPMR Publishing Press
"Molaei, Alireza; Fesharaki, Mohammad Gholami; ",The geographic distribution of excess mortality rate due to covid-19 in Iranian population: an ecological study,Iranian Red Crescent Medical Journal,,,,2021,
"Dempsey, Rebecca; Parnell, Andrew; McCarron, Pádraig; McCarthy, Gerard; ",Excess Mortality in Dublin during the Covid-19 Pandemic: Using RIP. ie as a geographical source,Irish Geography,53,2,163–172-163–172,2020,
"Friedman, Joseph; Calderón-Villarreal, Alhelí; Bojorquez, Ietza; Hernández, Carlos Vera; Schriger, David L; Hirashima, Eva Tovar; ","Excess out-of-hospital mortality and declining oxygen saturation: the sentinel role of emergency medical services data in the COVID-19 crisis in Tijuana, Mexico",Annals of emergency medicine,76,4,413-426,2020,Elsevier
"Weinberger, Daniel M; Rose, Liam; Rentsch, Christopher; Asch, Steven M; Columbo, Jesse; King Jr, Joseph; Korves, Caroline; Lucas, Brian P; Taub, Cynthia; Young-Xu, Yinong; ",Excess mortality in the general population versus Veterans Healthcare System during the first year of the COVID-19 pandemic in the United States,medRxiv,,,2022.09. 13.22279868,2022,Cold Spring Harbor Laboratory Press
"Pugh, Trevor; Harris, Jeffrey; Jarnagin, Kyle; Thiese, Matthew S; Hegmann, Kurt T; ","Impacts of the Statewide COVID-19 Lockdown Interventions on Excess Mortality, Unemployment, and Employment Growth",Journal of Occupational and Environmental Medicine,64,9,726,2022,Wolters Kluwer Health
"Aizenman, Joshua; Cukierman, Alex; Jinjarak, Yothin; Nair-Desai, Sameer; Xin, Weining; ",Gaps between official and excess Covid-19 mortality measures: The effects of institutional quality and vaccinations,Economic Modelling,116,,105990,2022,Elsevier
"Bassino, Jean-Pascal; Ladmiral, Guillaume; ",Excess mortality during the first and second waves of COVID-19 spread in Japan (December 2019-May 2020); evidence from municipality level data,"Evidence from Municipality Level Data (July 15, 2020)",,,,2020,
"Loewinger, Gabriel; Nunez, Rolando Acosta; Mazumder, Rahul; Parmigiani, Giovanni; ",Optimal Ensemble Construction for Multi-Study Prediction with Applications to COVID-19 Excess Mortality Estimation,arXiv preprint arXiv:2109.09164,,,,2021,
"Fortuna, Daniela; Caselli, Luana; Berti, Elena; Moro, Maria Luisa; ",Excess mortality and healthcare of chronic patients over two years of Covid-19: a population,Hypertension,399,10.6,"387,178",2023,
"Fernandez-Naranjo, Raul Patricio; Vasconez, Eduardo; Simbaña-Rivera, Katherine; Lister, Alex; Landazuri, Samanta; Ortiz-Prado, Esteban; ",The World’s Deadliest Outbreak During the COVID-19 Pandemic: A Proposed Analytical Approach to Estimate Excess Mortality in Ecuador During the First Year of the Pandemic.,,,,,2021,
"Bando, Hiroshi; ",Current Situation on the Excess Mortality of COVID-19 for Various Countries,Global J Infect Dis Immune Ther,3,1,112-14,2021,
"Bessis, Simon; Schnitzler, Alexis; Mascitti, Hélène; Duran, Clara; Dinh, Aurélien; ",Excess mortality in nursing homes during the first wave of the Covid-19 pandemic,Soins. Gerontologie,28,159,28-30,2022,
"Borrego–Morell, Jorge A; Huertas, Edmundo J; Torrado, Nuria; ",On the effect of COVID-19 pandemic in the excess of human mortality. The case of Brazil and Spain,Plos one,16,9,e0255909,2021,"Public Library of Science San Francisco, CA USA"
"Fazekas-Pongor, Vince; Szarvas, Zsófia; Nagy, Norbert D; Péterfi, Anna; Ungvári, Zoltán; Horváth, Viktor J; Mészáros, Szilvia; Tabák, Adam G; ",Different patterns of excess all-cause mortality by age and sex in Hungary during the 2nd and 3rd waves of the COVID-19 pandemic,Geroscience,44,5,2361-2369,2022,Springer
"Tóth, Csaba; ",Narrowing the gap in regional and age-specific excess mortality during the COVID-19 in Hungary,Eastern Journal of European Studies,13,1,185-207,2022,Editura Universităţii» Alexandru Ioan Cuza «din Iaşi
"Nogueira, Paulo Jorge; Nobre, Miguel De Araújo; Nicola, Paulo Jorge; Furtado, Cristina; Carneiro, António Vaz; ","Correction to the article"" Excess Mortality Estimation During the COVID-19 Pandemic: Preliminary Data from Portugal"", published on Acta Med Port 2020 Jun; 33 (6): 376-383",Acta medica portuguesa,33,6,450-451,2020,
"Mengjuan, Duan; Handcock, Mark S; Blackburn, Bart; Kee, Fiona; Biaukula, Viema; Matsui, Tamano; Olowokure, Babatunde; ",Tool for tracking all-cause mortality and estimating excess mortality to support the COVID-19 pandemic response,Western Pacific Surveillance and Response Journal: WPSAR,13,2,1,2022,"World Health Organization, Regional Office for the Western Pacific"
"Cintean, Raffael; Eickhoff, Alexander; Nussbaum, Katrin; Gebhard, Florian; Schuetze, Konrad; ",No Excess Mortality in Geriatric Patients With Femoral Neck Fractures Due to Shorter Intensive Care Caused by COVID-19,Cureus,14,10,,2022,Cureus
"Josipovič, Damir; ",COVID-19 and excess mortality: Was it possible to lower the number of deaths in Slovenia?,Stanovništvo,59,1,17-30,2021,Институт друштвених наука
"Demombynes, Gabriel; de Walque, Damien; Gubbins, Paul; Urdinola, Piedad; Veillard, Jeremy; ",Are COVID-19 age-mortality curves for 2020 flatter in developing countries? Evidence from a cross-sectional observational study of population-level official death counts and excess deaths estimates,BMJ open,12,11,e061589,2022,British Medical Journal Publishing Group
"Ricoca Peixoto, Vasco; Vieira, André; Aguiar, Pedro; Abrantes, Alexandre; ",Excess mortality since COVID-19,Acta Medica Portuguesa,35,11,783-785,2022,
"Soriano, Vicente; Barreiro, Pablo; ",Why such excess of mortality for COVID-19 in Spain?,Therapeutic Advances in Infectious Disease,7,,2049936120932755,2020,"SAGE Publications Sage UK: London, England"
"Hernández-Vásquez, Akram; Gamboa-Unsihuay, Jesús Eduardo; Vargas-Fernández, Rodrigo; Azañedo, Diego; ",Excess mortality in Metropolitan Lima during the COVID-19 pandemic: A district level comparison,Medwave,,,e8031-e8031,2020,
"Hajdu, Tamás; Krekó, Judit; Tóth, G Csaba; ",Inequalities in regional excess mortality and life expectancy during the COVID-19 pandemic in Europe,KRTK-KTI WORKING PAPERS,,,1-37,2023,"Institute of Economics, Centre for Economic and Regional Studies Eötvös …"
"Tóth, Csaba G; ",Narrowing gap in regional and age-specific excess mortality in the first year and a half of COVID-19 in Hungary,medRxiv,,,2022.01. 05.22268786,2022,Cold Spring Harbor Laboratory Press
"Achilleos, S; Pagola Ugarte, M; Quattrocchi, A; Gabel, J; Kolokotroni, O; Constantinou, C; Nicolaou, N; Rodriguez-Llanes, M; Demetriou, CA; ","8. B. Oral presentations: Impact of COVID-19 and excess mortality: Potential life years lost to COVID-19 in 17 countries during the pandemic period, up to August 2020.",European Journal of Public Health,31,,,2021,
"Hardy, Olivier J; Dubourg, Dominique; Bourguignon, Mélanie; Dellicour, Simon; Eggerickx, Thierry; Gilbert, Marius; Sanderson, Jean-Paul; Scohy, Aline; Vandael, Eline; Decroly, Jean-Michel; ",A world apart: levels and factors of excess mortality due to COVID-19 in care homes. The case of Wallonia-Belgium.(preprint),,,,,2020,
"Bhatia, Rajiv; ",Predictions of Covid-19 Related Unemployment On Suicide and Excess Mortality in the United States,,,,,2020,
"Gibson, John K; ",The rollout of COVID-19 booster vaccines is associated with rising excess mortality in New Zealand,,,,,2022,University of Waikato
"Cusack, Denis A; ",Covid-19 Pandemic Report on Coroner's Inquiries into Deaths: Epidemiology and Total and Excess Mortality in the District of Kildare March to June 2020,,,,,2020,"Coroner's Office, District of Kildare"
"Björk, Jonas; Mattisson, Kristoffer; Ahlbom, Anders; ",Excess mortality across regions of Europe during the first wave of the COVID-19 pandemic–impact of the winter holiday travelling and government responses,medRxiv,,,2020.11. 24.20237644,2020,Cold Spring Harbor Laboratory Press
"Villa, Neftali Eduardo Antonio; Chirino, Luisa Fernández; Martínez, Carlos Fermín; García, Daniel Ramírez; Vázquez, Arsenio Vargas; Seiglie, Jacqueline; Barquera, Simon; Robledo, Luis Miguel Gutiérrez; Bello-Chavolla, Omar Yaxmehen; DIAZ, ARMANDO GONZALEZ; ","Sociodemographic inequalities and excess non-COVID-19 mortality during the COVID-19 pandemic: A data-driven analysis of 1,069,174 death certificates in Mexico",Medrxiv. org/,,,,2022,
"Tzedakis, Stylianos; Yzhaky Shapira, Ortal; Schwarzinger, Michaël; Katsahian, Sandrine; Lazzati, Andrea; Dohan, Anthony; Coriat, Romain; Sogni, Philippe; Pol, Stanislas; Fuks, David; ","COVID-19 and excess mortality of patients with liver cancer in France, January 2020–September 2022",British Journal of Surgery,,,znad359,2023,Oxford University Press US
"Banerjee, Amitava; Pasea, Laura; Harris, Steve; Gonzalez-Izquierdo, Arturo; Torralbo, Ana; Shallcross, Laura; Noursadeghi, Mahdad; Pillay, Deenan; Pagel, Christina; Wong, Wai Keong; ",Estimating excess 1-year mortality from COVID-19 according to underlying conditions and age in England: a rapid analysis using NHS health records in 3.8 million adults,MedRxiv,,,2020.03. 22.20040287,2020,Cold Spring Harbor Laboratory Press
"Takefuji, Yoshiyasu; ",Impact of COVID-19 on mortality and excess mortality of midlife from 40 to 64 age groups,Aging and Health Research,3,4,100167,2023,Elsevier
"e Silva, Gulnar Azevedo; Jardim, Beatriz Cordeiro; dos Santos, Cleber Vinicius Brito; ",Excess mortality in Brazil in times of Covid-19,Ciência & Saúde Coletiva,25,9,3345-3355,2020,SciELO Brasil
"Leffler, Christopher T; ","Preliminary Analysis of Excess Mortality in India During the Covid-19 Pandemic (Update June 27, 2021).",Update,,,,2021,
"Michelozzi, Paola; de'Donato, Francesca; De Sario, Manuela; Scortichini, Matteo; Stafoggia, Massimo; Noccioli, Fiammetta; Andrianou, Xanthi; Boros, Stefano; Del Manso, Martina; Fabiani, Massimo; ",Temporal variations in excess mortality during phase 1 and phase 2 of the COVID-19 epidemic in Italy,Epidemiologia e prevenzione,44,5-6 Suppl 2,236-243,2020,
"Hansen, Kristian; ",Geographical Variation of the Impact by the Covid-19 Pandemic in Norway. How much has the covid-19 pandemic affected excess mortality and excess decline in employment in Norway on a geographical level in 2020?,,,,,2021,UiT Norges arktiske universitet
"Kurita, Junko; Sugawara, Tamie; Sugishita, Yoshiyuki; Ohkusa, Yasushi; ","Excess Mortality probably due to COVID-19 in Tokyo, Japan between August and October, 2020",medRxiv,,,2020.07. 09.20143164,2020,Cold Spring Harbor Laboratory Press
"Lukowsky, Lilia R; Der-Martirosian, Claudia; Dobalian, Aram; ","Disparities in excess, all-cause mortality among Black, Hispanic, and White veterans at the US Department of Veterans Affairs during the COVID-19 pandemic",International Journal of Environmental Research and Public Health,19,4,2368,2022,MDPI
"König, Sebastian; Hohenstein, Sven; Ueberham, Laura; Hindricks, Gerhard; Meier-Hellmann, Andreas; Kuhlen, Ralf; Bollmann, Andreas; ",Regional and temporal disparities of excess all-cause mortality for Germany in 2020: Is there more than just COVID-19?,Journal of Infection,82,5,186-230,2021,Elsevier
"Comas-García, Andreu; Erdely, Arturo; ",A polynomial regression model for excess mortality in Mexico 2020-2022 due to the COVID-19 pandemic,arXiv preprint arXiv:2311.15483,,,,2023,
"Moulaire, Paul; Hejblum, Gilles; Lapidus, Nathanael; ",Expected and observed deaths in France from 2020 to 2022: accurately assessing the excess mortality during the COVID-19 pandemic period,medRxiv,,,2023.12. 13.23299903,2023,Cold Spring Harbor Laboratory Press
"Venturelli, Francesco; Mancuso, Pamela; Vicentini, Massimo; Ottone, Marta; Storchi, Cinzia; Roncaglia, Francesca; Bisaccia, Eufemia; Ferrarini, Chiara; Pezzotti, Patrizio; Rossi, Paolo Giorgi; ","High temperature, COVID-19, and mortality excess in the 2022 summer: a cohort study on data from Italian surveillances",Science of The Total Environment,887,,164104,2023,Elsevier
"Clark, Gregory; Correa, José A; de Champlain, François; Nemeth, Joe; Achkar, Patrick; Alzaabi, Abdalla; Iannuzzi, David; Homier, Valerie; ",Did factors other than COVID-19 infection contribute to excess mortality in the early phases of the COVID-19 pandemic?,Canadian Journal of Emergency Medicine,25,2,174-175,2023,Springer
"Roccetti, Marco; ",All-cause Excess Mortality and Confirmed COVID-19 Deaths in Italy: A Peak Comparison Analysis,,,,,2022,Preprints
"Bjork, Jonas; Mattisson, Kristoffer; Ahlbom, Anders; ",Excess mortality across regions of Europe during the first wave of the COVID-19 pandemic-impact of the winter holiday travelling and government responses,,,,,2020,
"Lacaza, Rutcher; Lapitan, Pamela; Kochhar, Nishtha; Tan, Elaine S; Thomas, Milan; ",Excess mortality and COVID-19 lockdowns: Results from mixed-effects modelling for Thailand,,,,,2023,
"Pimenoff, Ville N; Elfström, Miriam; Baussano, Iacopo; Björnstedt, Mikael; Dillner, Joakim; ",Estimating COVID-19 contribution to total excess mortality,medRxiv,,,2020.09. 10.20191965,2020,Cold Spring Harbor Laboratory Press
"Limaye, Neha; Ninesling, Brennan; Marcelin, Frantzso; Nolan, Cody; Sobba, Walter; Hing, Matthew; Ptaszek, Emily; Léandre, Fernet; Palazuelos, Daniel; ","COVID-19 Pandemic Response in a Migrant Farmworker Community: Excess Mortality, Testing Access and Contact Tracing in Immokalee, Florida",Annals of Global Health,88,1,,2022,Ubiquity Press
"Gasch-Illescas, Antonia; Calle-Serrano, Marta; Vallejo-Vaz, Antonio J; Praena-Fernández, Juan M; Guerrero, Jose A; Calderón, Enrique J; Pollan, Marina; Medrano, Francisco J; ",Impact of the First Wave of the COVID-19 Pandemic on the Delivery of Health Care and on Excess Mortality in a Tertiary University Hospital,Available at SSRN 4155231,,,,2022,
"Stoto, Michael A; Schlageter, Samantha; degl’Innocenti, Duccio Gamannossi; Zollo, Fabiana; Kraemer, John D; ","Patterns, causes and policy implications of regional differences in COVID-19 mortality in the United States: A secondary analysis of excess mortality estimates",,,,,2023,
"Fernandes, Nuno; ",Letter to the Editor Regarding Nogueira et al “Excess Mortality Estimation During the COVID-19 Pandemic: Preliminary Data from Portugal”,Acta Médica Portuguesa,33,9,625-625,2020,
"Chami, Tarek; Noman, Anas; Al-Kindi, Sadeer; Janus, Scott; ",TCT-17 Cross-Sectional Analysis of Disparities and Excess Vascular Mortality Associated With the COVID-19 Pandemic,Journal of the American College of Cardiology,82,17_Supplement,B7-B8,2023,American College of Cardiology Foundation Washington DC
"Dyer, Paul; ",Excess Mortality and the Impact of COVID-19 in Egypt,,,,,2023,
"Rao, Chalapati; John, Amrit Jose; Yadav, Ajit Kumar; Siraj, Mansha; ",Subnational mortality estimates for India in 2019: a baseline for evaluating excess deaths due to the COVID-19 pandemic,BMJ global health,6,11,e007399,2021,BMJ Specialist Journals
"Verbeeck, Johan; Fajgenblat, Maxime; Willem, Lander; Neyens, Thomas; Faes, Christel; Hens, Niel; Deboosere, Patrick; Verbeke, Geert; Molenberghs, Geert; ",Estimating COVID-19-Related Excess Mortality Excluding Seasonal Phenomena in Belgium,,,,,2022,
"Natarajan, S; Subramanian, P; ",Excess mortality in India during the COVID 19 pandemic.,,,,,2022,Eur Respiratory Soc
"Chahine, Nicole; Janus, Scott E; Kim, Dan; Khan, Rizwan; Mujer, Mark Terence P; Elkaryoni, Ahmed; Lopez, John J; Li, Jun; Al-Kindi, Sadeer G; ",EXAMINING DISPARITIES AND EXCESS CARDIOVASCULAR MORTALITY IN PREGNANT INDIVIDUALS BEFORE AND DURING THE COVID-19 PANDEMIC,Journal of the American College of Cardiology,81,8_Supplement,2143-2143,2023,American College of Cardiology Foundation Washington DC
"Leffler, Christopher T; Konda, Sneha; ",The Reasons for Excess Mortality during the COVID-19 Pandemic,The American Journal of Tropical Medicine and Hygiene,107,1,218,2022,The American Society of Tropical Medicine and Hygiene
"Zou, Fengjuan; Xiao, Jianpeng; Jin, Yingying; Jian, Ronghua; Hu, Yijun; Liang, Xiaofeng; Ma, Wenjun; Zhu, Sui; ",Multilayer factors associated with excess all-cause mortality during the Omicron and non-Omicron waves of the COVID-19 pandemic: time series analysis in 29 countries,,,,,2023,
"Hegarty, Peter; ",Excess Mortality and the Effect of the COVID-19 Vaccines Part 1: European Data (preprint),,,,,2023,
"Eccard da Silva, Ricardo; Carvalho Garbi Novaes, Maria Rita; de Oliveira, Cesar; Bellezi Guilhem, Dirce; ",National governance and excess mortality due to COVID-19 in 213 countries: a retrospective analysis and perspectives on future pandemics,,,,,2023,Springer Nature
"Sanmarchi, Francesco; Capodici, Angelo; Golinelli, Davide; Lenzi, Jacopo; Zamparini, Manuel; Toth, Federico; De Girolamo, Giovanni; Stoto, Michael A; ",Regional Variations in Italy’s COVID-19 death toll: An Analysis of Excess Mortality and Associated Factors from 2020 to 2021,,,,,2023,
"Obi, Koyenum; Effron, Mark B; ",Racial Disparities and Excess Cardiovascular Mortality Before and During the COVID-19 Pandemic: Time for a Solution,Mayo Clinic Proceedings,97,12,2180-2183,2022,Elsevier
"Gibson, John; ",Mass Covid-19 Vaccination and Excess Mortality: Direct and Indirect Pathways,,,,,2021,
"Andrei, Dalina-Maria; ",Excess Mortality Associated with the Covid-19 Pandemic in Romania,"Ovidius University Annals, Economic Sciences Series",22,1,2-11,2022,"Ovidius University of Constantza, Faculty of Economic Sciences"
"Pech de Laclause, Gilles; Delenda, Arnaud; Augustincic, Lana; ","Non Pharmaceutical Interventions ‘NPIs’, Hospital Overload and Excess Mortality: Statistical Analysis and Mathematical Study of the NPIs Results in ‘COVID 19’Outbreak",Hospital Overload and Excess Mortality: Statistical Analysis and Mathematical Study of the NPIs Results in ‘COVID,19,,,2020,
"Koziol, James A; Schnitzer, Jan E; ",A Note on Excess Mortality Attributable to COVID-19 in the United States,Global Journal of Epidemiology and Infectious Disease,,,62-65,2021,
"Kovács, Katalin; ",Social and economic factors shaping between-country inequalities in excess mortality during the consecutive waves of COVID-19: A European perspective,Demográfia English Edition,65,5,63-96.,2022,
"Fernández, Raúl; Vásconez-González, Jorge; Simbaña-Rivera, Katherine; Lister, Alex; Landazuri, Samanta; Castillo, Diana; Izquierdo Condoy, Juan Sebastian; Ortiz-Prado, Esteban; ",The world’s deadliest outbreak during the COVID-19 Pandemic: A proposed analytical approach to estimate Daily Excess mortality rates in Ecuador,SSRN Electronic Journal,,,,2022,
"LIU, LI; ",Covid-19 Excess Mortality in China: A Regional Comparison (preprint),,,,,2023,
"Galkontas, Aurimas; ",EXCESS MORTALITY IN LITHUANIA DURING THE COVID-19 PANDEMIC,Book of Proceedings,,,253,2022,
"Basellini, Ugofilippo; Alburez-Gutierrez, Diego; Del Fava, Emanuele; Perrotta, Daniela; Bonetti, Marco; Camarda, Carlo Giovanni; Zagheni, Emilio; ",Linking excess mortality to mobility data during the COVID-19 pandemic in England and Wales,,,,,2020,SocArXiv
"Hariharan, Hariprasad Thazhathedath; Surendran, Anish Thekkumkara; ",Excess COVID-19 Mortality in India: An Estimation Using the Published Death Rate by the Civil Registration System,Indian Journal of Clinical Medicine,,,26339447231158202,2023,"SAGE Publications Sage India: New Delhi, India"
"Foster, Thomas B; Fernandez, Leticia; Porter, Sonya R; Pharris-Ciurej, Nikolas; ","Age, Sex, and Racial/Ethnic Disparities and Temporal-Spatial Variation in Excess All-Cause Mortality During the COVID-19 Pandemic: Evidence from Linked Administrative and Census Bureau Data",,,,,2022,"US Census Bureau, Center for Economic Studies"
"Morfeld, Peter; Erren, Thomas C; ","Deaths in nine regions of Italy in February/March 2020:"" mortality excess loupe"" for SARS-CoV-2/COVID-19-epidemiology in Germany",Gesundheitswesen (Bundesverband der Arzte des Offentlichen Gesundheitsdienstes (Germany)),82,5,400-406,2020,
"Economidou, Eleftheria C; Soteriades, Elpidoforos S; ",Excess mortality in Cyprus during the COVID-19 vaccination campaign,Vaccine,,,S0264-410X (23) 01361-0,2023,
"Kurita, Junko; Sugawara, Tamie; Sugishita, Yoshiyuki; Ohkusa, Yasushi; ","Excess Mortality probably due to COVID-19 in Tokyo, Japan in August and September, 2020",,,,,2020,
"Friedman, Joseph; Calderon-Villarreal, Alheli; Bojorquez, Ietza; Hernandez, Carlos Vera; Schriger, David; Hirashima, Eva Tovar; ","Excess out-of-hospital mortality and declining oxygen saturation documented by EMS during the COVID-19 crisis in Tijuana, Mexico",,,,,2020,
"Feijen, M; Egorova, AD; van der Velde, ET; Schalij, MJ; Beeres, SLMA; ",No substantial excess all-cause mortality among cardiac implantable electronic device patients during the first COVID‑19 lockdown in the Leiden area,Netherlands Heart Journal,30,2,76-83,2022,Springer
"Galkontas, Aurimas; Sauliūnė, Skirmantė; ",Dynamics of Excess Mortality in Europe During the Covid-19 Pandemic,"Health, Environment and Sustainable Development: Interdisciplinary Approach HESDIA 2022",,,28,2022,
"Sirag, Elham; Gissler, Gautier; ",Estimating excess mortality in Canada during the COVID-19 pandemic: Statistical methods adapted for rapid response in an evolving crisis,Statistical Journal of the IAOS,37,4,1173-1180,2021,IOS Press
"Vestergaard, Lasse S; Nørgaard, Sarah K; Nielsen, Jens; Krause, Tyra G; Mølbak, Kåre; ",Authors’ response: Excess all-cause mortality during second wave of COVID-19–the Polish perspective,Eurosurveillance,26,7,2100191,2021,European Centre for Disease Prevention and Control
"Sy, Wilson; ",Simpsons paradox in the correlations between excess mortality and covid-19 injections: a case study of iatrogenic pandemic for elderly Australians,Medical & Clinical Research,,,1-16,2023,Medical & Clinical Research
"Lima, Everton; ",Municipal Brazilian electoral results in 2018-2022 and its association with excess mortality during 2020-2021 COVID-19 pandemic,,,,,2022,OSF Preprints
"Barnard, Sharmani; Fryers, Paul; Fitzpatrick, Justine; Fox, Sebastian; Baker, Allan; Burton, Paul; Newton, John; Doyle, Yvonne; Goldblatt, Peter; ",Effect of Covid-19 on inequalities in premature mortality in England: an analysis of excess mortality by deprivation and ethnicity,medRxiv,,,2021.05. 18.21256717,2021,Cold Spring Harbor Laboratory Press
"Marinho, Maria Fátima; ",Racial disparity in excess mortality in Brazil during COVID-19 times,,,,,2021,
"DeVost, Michelle A; Chen, Yea‐Hung; Charpignon, Marie‐Laure; Wells, Whitney M; Kiang, Mathew V; Mooney, Alyssa C; Riley, Alicia R; Glymour, M Maria; Chen, Ruijia; ",Marital status associated with excess ADRD mortality among Californians during the COVID‐19 pandemic,Alzheimer's & Dementia,19,,e080634,2023,Wiley Online Library
"Brandily, Paul; Brebion, Clement; Briole, Simon; Khoury, Laura; ",A Poorly Understood Disease? The Unequal Distribution of Excess Mortality Due to COVID-19 Across French Municipalities (preprint),,,,,2020,
"Statistics, Northern Ireland; ",Excess mortality and Covid-19 related deaths in Northern Ireland: March 2020 to December 2022,,,,,2023,Northern Ireland Statistics & Research Agency
"Aune, Kyle T; Grantz, Kyra H; Menezes, Neia Prata; Robsky, Katherine O; Gurley, Emily S; Marx, Melissa A; Phelan-Emrick, Darcy F; ","Demographic and Geographic Characterization of Excess Mortality During the COVID-19 Pandemic in Baltimore City, Maryland, March 2020 to March 2021",American Journal of Epidemiology,,,,,
"Lippi, Giuseppe; Montagnana, Martina; Mattiuzzi, Camilla; ",Excess mortality is not a reliable indicator of overall mortality impact of COVID-19,,,,,2022,
"Kurita, Junko; Sugawara, Tamie; Sugishita, Yoshiyuki; Ohkusa, Yasushi; ","No Excess Mortality of COVID-19 in Japan until April and May, 2020",,,,,,
"Statistics, Northern Ireland; ",Excess mortality and Covid-19 related deaths in Northern Ireland: March 2020 to August 2022,,,,,2022,Northern Ireland Statistics & Research Agency
"Zińczuk, Aleksander; Rorat, Marta; Jurek, Tomasz; ",COVID-19-related excess mortality-an overview of the current evidence,Archiwum Medycyny Sądowej i Kryminologii,73,1,,2023,
"Mori, Hirotake; Komori, Akira; Naito, Toshio; ",Low excess mortality rate during the COVID-19 pandemic waves in Japan,JOURNAL OF HOSPITAL GENERAL MEDICINE,4,5,251-252,2022,JAPAN SOCIETY OF HOSPITAL GENERAL MEDICINE
"Rossen, Lauren M; Ahmad, Farida B; Anderson, Robert N; Branum, Amy M; Du, Chengan; Krumholz, Harlan M; Li, Shu-Xia; Lin, Zhenqiu; Marshall, Andrew; Sutton, Paul D; ",Disparities in Excess Mortality Associated with COVID-19…,,,,,,
"Sy, Wilson; ",A critique of estimates of excess mortality from COVID-19 pandemic,,,,,,
"Bando, H; Urasaki, H; ",Perspective on Excess Mortality of COVID-19 for Various Situation Worldwide,SunText Rev Virol,3,2,136,2023,
"Fesharaki, Mohammad Gholami; Molaei, Alireza; ",Geographic Distribution of Excess Mortality Rate Duo to COVID-19 in Iranian Population: An Ecological Study,,,,,2020,
"Silva, Susana; Silva, Álvar; Torres, Ana; Nunes, Baltazar; Dias, Carlos Matias; Nielson, Jens; Rodrigues, Ana Paula; ","Excess mortality associated with voc-specific covid-19, flu and extreme temperatures: A compreensive time-series analysis approach to estimate attributable mortality during the covid-19 pandemic in portugal",Population Medicine,5,Supplement,,2023,EU European Publishing
"GIRALDO OLIVEROS, SIMON ANDRÉS; ZAMBRANO CORREA, ANA LILIBETH; VILLEGAS PEREA, JUAN DE DIOS; ","Excess Mortality from all Causes in the Framework of the COVID-19 Pandemic in Valle del Cauca, 2020",Revista Salud Uninorte,38,2,386-401,2022,
"김진환; 김새롬; ","Inequitable distribution of excess mortality during the COVID-19 pandemic in Korea, 2020",Epidemiology and Health,44,,1-10,2022,한국역학회
